Аллергология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Инфраингиванальная микрохирургическая перевязка вен семенного канатика (операция Мармара) при варикозном расширении вен семенного канатика 1 категории сложности,0,45000,0,30,
Инфраингиванальная микрохирургическая перевязка вен семенного канатика (операция Мармара) при варикозном расширении вен семенного канатика 2 категории сложности,0,50000,0,30,
Иссечение парауретральной кисты,0,28000,0,40,A16.28.082
Катетеризация мочевого пузыря,0,2500,0,20,A11.28.007
Консультация врача-уролога первичная,2300,2300,0,20,
Консультация врача-уролога первичная (Пешков Д.С.),2000,2000,0,20,"В01.053.001
"
Консультация врача-уролога повторная,2300,2300,0,30,"В01.053.002
"
Консультация врача-уролога повторная (Пешков Д.С.),2000,2000,0,20,"В01.053.002
"
Консультация врача-уролога повторная по результатам анализов,800,800,0,20,
Лечебный массаж простаты,1300,1300,0,5,"A21.21.001
"
Лечебный массаж простаты 1 категории,1500,1500,0,5,A21.21.001.1
Лечебный массаж простаты 2 категории,1900,1900,0,5,A21.21.001.2
Лечение баланопостита,1500,1500,0,10,
"Массаж простаты пальцевой, 1 процедура",0,1900,0,5,A21.21.001
Местная анестезия в урологии,0,1400,0,10,B01.003.004.001
Наложение повязки при операциях на наружных мужских половых,0,1750,0,10,A15.01.001
Обрезание крайней плоти,0,37000,0,60,A16.21.013
"Операция при гидроцеле (киста, водянка яичка) 1 категории сложности",0,35000,0,20,
"Операция при гидроцеле (киста, водянка яичка) 2 категории сложности",0,45000,0,30,
Пальцевое ректальное исследование,800,800,0,10,
Перевязка послеоперационных швов в урологии,1500,1500,0,10,
Поверхностная анестезия в урологии,0,1000,0,10,
Получение уретрального отделяемого в урологии,0,800,0,5,
Проводниковая анестезия в урологии,0,1600,0,10,
ПЦР (соскоб),600,600,0,5,
"Радиоволновое удаление единичных папиллом, кондилом",1000,0,0,10,
Разведение спаек полового члена,3500,3500,0,10,
Разделение синехий крайней плоти,0,4000,0,30,А16.21.051
Ректальный осмотр,400,400,0,5,A01.19.004
Склеротерапия вен семенного канатика пенной формой склерозирующего препарата 1 сеанс,0,9900,0,30,
Снятие послеоперационных швов (2 степень сложности),3000,3000,0,20,"A16.30.069.001
"
Снятие послеоперационных швов.,1500,1500,0,15,"A16.30.069
"
УВТ (Ударно-волновая терапия) в урологии,2100,2100,0,20,"A22.30.015
"
Удаление доброкачественных новообразований кожи радиохирургическим/аргоноплазменным методом,3500,3500,0,20,
Удаление доброкачественных новообразований кожи радиохирургическим/аргоноплазменным методом 1-5 элементов,5000,5000,0,20,
Удаление доброкачественных новообразований кожи радиохирургическим/аргоноплазменным методом 6- 10 элементов,8000,8000,0,20,
"Удаление доброкачественных новообразований кожи электрохирургическим методом (Фотек), 1-5 элементов",0,5100,0,30,
"Удаление доброкачественных новообразований кожи электрохирургическим методом (Фотек), 6-10 элементов",0,9000,0,30,
"Удаление доброкачественных новообразований кожи электрохирургическим методом (Фотек), более 10 элементов",0,13000,0,30,
Удаление инородных тел крайней плоти,0,8000,0,30,
Удаление уретрального полипа,0,12000,0,20,A16.28.086
Ударно-волновая терапия полового члена,2100,2100,0,10,"A22.30.015
"
Ударно-волновая терапия предстательной железы,2100,2100,0,10,"A22.30.015
"
"УЗИ комплексное (брюшная полость + почки, надпочечники) у уролога",2600,2600,0,30,"A04.16.001
"
"УЗИ комплексное урологическое (почки, мочеточники, мочевой пузырь, простата, определение остаточной мочи) у уролога",3100,3100,0,30,
УЗИ мочевого пузыря у уролога,1100,1100,0,15,
"УЗИ органов брюшной полости (печень, желчный пузырь и желчные протоки, селезенка, поджелудочная железа) у уролога",2200,2200,0,20,A04.16.001
УЗИ полового члена у уролога,1800,1800,0,15,"A04.21.002
"
"УЗИ почек, надпочечников у уролога",1500,1500,0,15,
УЗИ предстательной железы (трансабдоминально) у уролога,1600,1600,0,15,"A04.21.001 
"
Уретральный забор на посев,800,800,0,5,
Урофлоуметрия ( измерение скорости потока мочи),0,1500,0,10,A12.28.006
Установка (смена) катетера Фолея длительного использования,0,1900,0,20,
Установка (смена) катетера Фолея кратковременного использования,0,1900,0,20,
Установка уретрального катетера,1900,1900,0,10,A11.28.007
Френулотомия (пластика уздечки полового члена),0,18000,0,30,A16.21.038
Хирургическая обработка раны или инфицированной ткани в урологии,0,2000,0,10,A16.01.004
ФГДС,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Функциональная диагностика,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Лазеротерапия - 1 процедура,800,800,800,20,А17.30.003
Лазеротерапия - курс 10 процедур,6400,6400,6400,20,А17.30.003
Лазеротерапия - курс 5 процедур,3200,3200,3200,20,А17.30.003
СНЯТИЕ СМАД,1,1,1,5,
СНЯТИЕ ХОЛТЕРА,1,1,1,5,
Спирография с расшифровкой (исследование функции внешнего дыхания) без применения бронхолитика,0,1000,1000,40,"A12.09.001
"
Спирография с расшифровкой (исследование функции внешнего дыхания) с применением бронхолитика,0,1400,1400,40,A12.09.002.001
Суточное мониторирование АД,3100,3100,3100,30,"А02.12.002.001
"
Суточное мониторирование ЭКГ (Холтер),3100,3100,3100,30,"А05.10.008

"
Суточное мониторирование ЭКГ (Холтер) в 12-ти отведениях,0,3100,0,30,
ЭКГ без расшифровки,700,700,700,20,"А05.10.006
"
ЭКГ для эндоскопии,1,1,0,20,
ЭКГ с расшифровкой,1000,1000,1000,20,"А05.10.006
А05.10.004"
Электрофорез без лекарственного препарата,400,400,400,30,А17.29.003
Электрофорез без лекарственного препарата (курс 10 процедур),3000,3000,3000,30,А17.29.003
Электрофорез с лекарственным препаратом,800,800,800,30,А17.29.003
Электрофорез с лекарственным препаратом (курс 10 процедур),7000,7000,7000,30,А17.29.003
ЭЭГ (электроэнцефалограмма с функциональными пробами и с ЭКГ контролем) с 15 лет,2300,2300,2300,40,А05.23.001.1
ЭЭГ (электроэнцефалограмма с функциональными пробами) с 15 лет,0,2300,2300,40,
ЭЭГ 30 мин детское (электроэнцефалограмма с функциональными пробами),3000,3000,0,50,
ЭЭГ(электроэнцефалограмма с функциональными пробами) до 15 лет,2100,2100,2100,40,А05.23.001
Хирургия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Анестезия инъекционная (ультракаин, артикаин)",0,900,0,10,
Вскрытие гематомы мягких тканей,0,6300,0,30,A16.30.076
Вскрытие и дренирование абсцесса,0,2500,0,30,
Вскрытие и дренирование абсцесса более 1 см,0,5000,0,40,
Вскрытие паронихия,0,2500,0,40,
Вскрытие подкожного панариция,0,3000,0,30,
Вскрытие подногтевого панариция,0,4000,0,40,
Вскрытие фурункула,0,3000,0,30,
Гистология.,0,2500,0,10,
Инфильтрационная  анестезия,0,2500,0,30,B01.003.004.005
Иссечение грануляции,0,5900,0,10,А16.01.030
Иссечение новообразования мягких тканей размером  до 1 см,0,14900,0,30,A16.30.032
Иссечение новообразования мягких тканей размером более 1 см,0,16400,0,40,A16.30.032
Иссечение поражения подкожно-жировой клетчатки,0,7100,0,40,A16.01.006
Иссечение рубцов кожи,0,9900,0,60,A16.01.023
Иссечение свища мягких  тканей,0,15200,0,60,A16.30.064
Коагуляция (остановка  кровотечения) кровоточащего сосуда,0,4100,0,40,A22.30.033
Краевая резекция ногтевого ложа (вросший ноготь),0,6100,0,40,
Накожное применение лекарственных  препаратов,0,1000,0,20,A11.01.014
Наложение  повязки  при переломах  костей,0,1400,0,30,A15.03.001
Наложение вторичных  швов,0,4500,0,40,A16.01.008.001
Наложение повязки при нарушении целостности кожных покровов,0,1400,0,30,A15.01.001
Оперативное лечение туннельного синдрома,0,35000,0,60,
Перевязка у хирурга,0,1000,0,20,
"Приём(осмотр, консультация)врача-хирурга  первичный",0,2000,0,40,В01.057.001
"Приём(осмотр, консультация)врача-хирурга  повторный",0,2000,0,40,В01.057.002
Проводниковая анестезия,0,2600,0,30,B01.003.004.002
Пункция мягких тканей,0,4200,0,30,А11.30.024
Седация (медикаментозный сон),0,5000,0,5,
Снятие швов - перевязка у хирурга,0,1200,0,20,
Снятие швов - перевязка у хирурга (первичный прием),0,2000,0,40,
Удаление атеромы,0,8100,0,30,А16.01.016
Удаление гигромы,0,6500,0,60,
Удаление доброкачественных новообразований кожи более 1 см,0,13100,0,60,A16.01.017
Удаление доброкачественных новообразований кожи до 1 см,0,6400,0,30,A16.01.017
Удаление доброкачественных новообразований кожи методом электрокоагуляции,0,6100,0,30,A16.01.017.001
Удаление инородного тела с рассечением  мягких тканей,0,4100,0,40,A16.30.066
Удаление мозоли,0,3900,0,30,A16.01.028
Удаление ногтевых пластинок,0,4500,0,30,A16.01.027
Ушивание открытой раны (без кожной пересадки),0,7900,0,40,A16.01.009
Хирургическая обработка обширной раны,0,6300,0,40,A16.01.004
Хирургическая обработка раны,0,3900,0,30,A16.01.004
Эндокринология,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
Прием детского эндокринолога,0,2300,2300,40,B04.058.003
Прием эндокринолога первичный,2000,2000,2000,40,"В01.058.001
"
Прием эндокринолога повторный,2000,2000,2000,40,В01.058.002
Эндоскопия,,,,,
Наименование,Цена Климовск,Цена Подольск,Цена Кирова,Длительность,Код номенклатуры
"Биопсия слизистой желудка (пищевода, двенадцатиперстной кишки)",500,500,0,10,А11.16.002
Биопсия слизистой кишечника,500,500,0,10,А11.18.001
"Гастроскопия (видеоэзофагогастродуоденоскопия) - обследование пищевода, желудка и двенадцатиперстной  + Консультация гастроэнтеролога (первичная) + тест на хеликобактер",6200,6200,0,45,"A03.16.001
B01.004.001"
"Гастроскопия (видеоэзофагогастродуоденоскопия) - обследование пищевода, желудка и двенадцатиперстной кишки",4700,4700,0,30,"А03.16.001
"
Гастроскопия и колоноскопия с седацией (медикаментозный сон),15000,15000,0,60,"A03.16.001.005
A03.18.001
B01.003.004.002"
Гастроскопия с седацией (медикаментозный сон),9700,9700,0,30,"A03.16.001.005
B01.003.004.002"
Гастроскопия трансназальная (введение через нос) ультратонким эндоскопом,6000,0,0,30,"A03.16.001.005
"
Гастроскопия трансназальная + Консультация гастроэнтеролога (первичная) + тест на хеликобактер,7500,0,0,45,
Гастроскопия трансназальная с проведением теста на хеликобактер (введение через нос),6500,0,0,45,"A03.16.001.005
A08.16.004"
Гастроскопия ультратонким эндоскопом (введение через рот),6000,0,0,30,
"Гистологическое исследование эндоскопического материала желудка (OLGA, 3 контейнера: тело, угол, антральный отдел желудка)",3900,3900,0,5,
"Гистологическое исследование эндоскопического материала кишечнка при воспалительных заболеваниях (лестничная биопсия, несколько контейнеров)",3900,3900,0,5,
Запись на флеш-карту,500,0,0,5,
Колоноскопия,7000,7000,0,60,A03.18.001
Колоноскопия с седацией (медикаментозный сон),12000,12000,0,50,"A03.18.001
B01.003.004.002"
Морфологическое исследование биоптата,2700,2700,0,5,16.0.А27.110
Ректороманоскопия (осмотр прямой кишки),3000,3000,0,15,A03.19.002
Ректоросигмаскопия (осмотр прямой и сигмавидной кишки),3500,3500,0,30,A03.19.004
Седация (медикаментозный сон) для гастроскопии,5000,5000,0,10,B01.003.004.002
Седация (медикаментозный сон) для колоноскопии,5000,5000,0,10,B01.003.004.002
Тест на хеликобактер,500,500,0,5,"A08.16.004
"
Эзофагоскопия (осмотр пищевода),2000,0,0,20,А03.08.003
